ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SERVIDOR DE INFORMATICA;;KHONE;KFR-66G;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO BOX DENTAL;;MIDEA;MSMAB -12HRN1;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO ABASTECIMIENTO;;ANWO;GEC24E;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO COSAM N 1;;KHONE;KSM-24BC1;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO COSAM N 2;;KHONE;KSM-24BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO COSAM N 3;;KHONE;KSM-24BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO COSAM N 4;;KHONE;KSM-24BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO COSAM N 5;;KHONE;KSM-24BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA CUNA - OFICINA EDUCADORA;;ANWO;GEVR9ECO;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA CUNA - SALA LACTANCIA;;KHONE;CW-09A;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA CUNA - BAÑO NIÑOS;;MIDEA;MWF1-09 HR;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA CUNA - SALA SIESTA N 1;;KHONE;KSM - 18BC1;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA CUNA - SALA SIESTA N 2;;KHONE;KSM - 18BC1;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO AUDITORIO ANITA ROJAS;;IVAC;UTA -20ST;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO DIRECCION;;IVAC;UTA -20ST;REGULAR ;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO MODULO K - SALA ESPERA;;KHONE;KSM - 18BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO MODULO K - BOX N 53;;KHONE;KSM - 09BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO MODULO K - BOX N 54;;KHONE;KSM - 09BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO MODULO K - BOX N 55;;KHONE;KSM - 12BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO MODULO K - BOX N 56;;KHONE;KSM - 12BC1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO DE CONTAINER MANTENCION (EX- SAMU);;CLARK;CST-12HRE;BUENO;;;;;industrial;0;3;0
