ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;MANTENCION;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MANTENCION;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MANTENCION;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MANTENCION;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;STOCK;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;STOCK;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;STOCK;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;STOCK;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;CARLOS MONSALVEZ;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;ALVARO LOZANO;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;CRISTIAN FERNANDEZ;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MATERNIDAD;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD782 G;BUENO;;0;;;industrial;0;1;0
;AMBULANCIA;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;GALVARINO SILVA;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIO  VHF (WALKIE-TALKIE )   ;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
